hcp_name,num_articles,title,authors,journal,publication_year,abstract,hcp_name_short,scraped_from
Helena Björneklett,6,a randomized controlled trial support group intervention quality life fatigue women primary treatment early breast cancer,"H Björneklett, C Lindemalm, M Ojutkangas",supportive care in,2012.0,"background when diagnosed breast cancer, women’s lives change perspectives appreciation life. the aim present study evaluate psychosocial support intervention influence health-related quality life (hrqol)",H Björneklett,gs
Helena Björneklett,6,a randomized controlled trial support group intervention breast cancer treatment results sick leave health care utilization health economy,"H Björneklett, A Rosenblad, C Lindemalm",acta,2013.0,"background. more 50% breast cancer patients diagnosed age 65. returning work treatment is, therefore, individual society. the aim study effect support group intervention sick leave health care",H Björneklett,gs
Helena Björneklett,6,existential aspects neglected evaluation supportintervention breast cancer patients,"C Lindemalm, H Björneklett",acta,2012.0,"in number 2 2011, acta oncologica published papers nordic cancer rehabilitation symposium. in issue, helle ploug hansen co-workers stressed effects supportintervention measured quantitative questionnaires",H Björneklett,gs
Helena Björneklett,6,support group intervention primary breast cancer healthrelated quality life special reference anxiety depression fatigue,H Björneklett,,2012.0,"support group intervention primary breast cancer : health-related quality life, special reference anxiety, depression fatigue diva-portal.org digitala vetenskapliga arkivet simple search advanced search - research publicationsadvanced search - student",H Björneklett,gs
Henrik Lindman,5,potent corticosteroid cream mometasone furoate significantly reduces acute radiation dermatitis results doubleblind randomized study,"Å Boström, H Lindman, C Swartling, B Berne",radiotherapy and,2001.0,"purpose: radiation-induced dermatitis common effect radiation therapy, necessitate interruption therapy. there substantial lack evidence-based treatments condition. the aim study investigate effect mometasone",H Lindman,gs
Henrik Lindman,5,tailored fluorouracil epirubicin cyclophosphamide compared marrowsupported highdose chemotherapy adjuvant treatment highrisk breast ,"J Bergh, T Wiklund, B Erikstein, E Lidbrink, H Lindman",the lancet,2000.0,"background chemotherapy drug distribution varies greatly individual patients. therefore, developed individualised fluorouracil, epirubicin, cyclophosphamide (fec) regimen improve outcomes patients high-risk early breast cancer. we",H Lindman,gs
Henrik Lindman,5,characterization endogenous gcsf inverse correlation chemotherapyinduced neutropenia patients breast cancer population ,"A Quartino, M Karlsson, H Lindman",pharmaceutical,2014.0,purpose neutropenia severe adverse-event chemotherapeutics. neutrophils (anc) mainly regulated granulocyte colony stimulating factor (g-csf). the aim characterize dynamics endogenous g-csf anc time following chemotherapy…,H Lindman,gs
Henrik Lindman,5,model describing relations pharmacokinetics hematological toxicity epirubicindocetaxel regimen breast cancer,"M Sandström, H Lindman, P Nygren",journal of clinical,2005.0,purpose: the aims present study (1) characterize pharmacokinetics component drugs (2) relationship pharmacokinetics dose-limiting hematologic toxicity epirubicin (epi)/docetaxel (dtx) regimen,H Lindman,gs
Henrik Lindman,5,nodepositive leftsided breast cancer patients breastconserving surgery potential outcomes radiotherapy modalities techniques,"J Johansson, U Isacsson, H Lindman",radiotherapy and,2002.0,purpose: to determine proton intensity modulated photon radiotherapy (imrt) improve treatment results node-positive left-sided breast cancer compared conventional radiation qualities (x-rays electrons) breast-conserving surgery terms,H Lindman,gs
Jamila Adra,1,distribution locoregional breast cancer recurrence relation postoperative radiation fields biological subtypes,"J Adra, D Lundstedt, F Killander, E Holmberg",international journal of,2019.0,purpose to investigate incidence location locoregional recurrence (lrr) patients received postoperative locoregional radiation therapy (lrrt) primary breast cancer. lrr-position relation applied radiotherapy primary tumor biological,J Adra,gs
Jan Frisell,15,longterm effects mammography screening updated overview swedish randomised trials,"L Nyström, I Andersson, N Bjurstam, J Frisell",the lancet,2002.0,background there debate value screening mammography. here update overview swedish randomised controlled trials mammography screening including 1996. the kopparberg two-county trial,J Frisell,gs
Jan Frisell,15,breast cancer young women poor survival despite intensive treatment,"H Fredholm, S Eaker, J Frisell, L Holmberg",plos one,2009.0,"background breast cancer uncommon young women correlates favourable prognosis; frequent cancer women 40, accounting 30–40% incident female cancer. the aim study study prognosis young women,",J Frisell,gs
Jan Frisell,15,followup 11 yearsupdate mortality results stockholm mammographic screening trial,"J Frisell, E Lidbrink, L Hellström, L Rutqvist",breast cancer research and,1997.0,results randomised mammography screening trials haveshown possible reduce mortalityin breast cancer mammographic screening leastfor women 50 years age. thepurpose article present dataon mortality breast cancer,J Frisell,gs
Jan Frisell,15,randomized study mammography screeningpreliminary report mortality stockholm trial,"J Frisell, G Eklund, L Hellström, E Lidbrink",breast cancer research,1991.0,"in march 1981, 40,318 women stockholm, aged 40–64, entered randomized trial breast cancer screening single-view mammography versus intervention control group 20,000 women. the attendance rate screening round 81",J Frisell,gs
Jan Frisell,15,breast cancer survival relation metastatic tumor burden axillary lymph nodes,"Y Andersson, J Frisell, M Sylvan",journal of clinical,2010.0,"purpose the aim study determine prognostic significance lymph node micrometastases patients breast cancer. patients methods between september 2000 january 2004, 3,369 patients breast cancer included prospective",J Frisell,gs
Jan Frisell,15,incidence survival swedish patients differentiated thyroid cancer,"C Lundgren, P Hall, A Ekbom, J Frisell",journal of cancer,2003.0,"papillary (ptc) follicular (ftc) thyroid cancers rare disorders are, nevertheless, common cancers individuals 40 years age. from population‐based swedish cancer registry identified 3,588 individuals ptc 1,966",J Frisell,gs
Jan Frisell,15,survival axillary recurrence following sentinel nodepositive breast cancer completion axillary lymph node dissection randomized controlled ,"J Boniface, J Frisell, Y Andersson",bmc,2017.0,the role axillary lymph node dissection (alnd) increasingly called question patients positive sentinel lymph nodes. two recent trials failed survival difference sentinel node-positive breast cancer patients randomized,J Frisell,gs
Jan Frisell,15,the stockholm mammographic screening trial risks benefits age group 4049 years,"J Frisell, E Lidbrink",jnci monographs,1997.0,"this article presents updated data breast cancer mortality women age 50 stockholm mammographic screening trial, review effects associated screening age group. approximately 40,000 women aged 40-64 (14,842",J Frisell,gs
Jan Frisell,15,a prospective populationbased study cutaneous malignant melanoma head neck,"P Gillgren, E Månsson‐Brahme, J Frisell",the,2000.0,"objectives/hypothesis for cutaneous malignant melanoma (cmm) head neck, prognostic factors population‐based groups, outcome respect surgical resection margins clear. therefore, analyzed data regional registry align treatment",J Frisell,gs
Jan Frisell,15,analysis interval breast carcinomas randomized screening trial stockholm,"J Frisell, G Eklund, L Hellström, A Somell",breast cancer research and,1987.0,"in interval screening examinations, cases breast cancer invariably detected clinically patients mammogram considered normal earlier screening. during interval stockholm study, 60 interval cancers detected…",J Frisell,gs
Jan Frisell,15,a prospective randomized study comparing different expander approaches implantbased breast reconstruction stage versus stages,"C Eriksen, E Lindgren, J Frisell",plastic and reconstructive,2012.0,background: implant-based reconstruction performed majority women offered primary reconstruction breast cancer. methods: two different expander implants compared prospectively. the primary endpoint number operations needed,J Frisell,gs
Jan Frisell,15,effect primary site prognosis patients cutaneous malignant melanoma a study new model analyse anatomical locations,"P Gillgren, G Brattström, J Frisell, J Persson",melanoma,2005.0,"the prognostic impact different anatomical sites patients cutaneous malignant melanoma (cmm) widely debated requires elucidation. therefore, developed essdoll©, new computerized method address question site relation",J Frisell,gs
Jan Frisell,15,swedish prospective multicenter trial evaluating sentinel lymph node biopsy neoadjuvant systemic therapy clinically nodepositive breast cancer,"L Zetterlund, J Frisell, A Zouzos, R Axelsson",breast cancer research,2017.0,purpose patients clinically node-positive breast cancer planned neoadjuvant systemic therapy (nast) draw advantages nodal downstaging effect reduce extent axillary surgery sentinel lymph node biopsy (slnb) performed nast.,J Frisell,gs
Jan Frisell,15,the stockholm breast cancer screening trial5year results stage discovery,"J Frisell, G Eklund, L Hellström, U Glas",breast cancer research,1989.0,in screening programmes important assess preliminary effectiveness screening method soon possible order forecast survival figures. in march 1981 controlled single-view mammographic screening trial breast cancer started south,J Frisell,gs
Jan Frisell,15,sentinel node biopsy breast cancer larger 3 cm diameter,"J Schüle, J Frisell, C Ingvar",journal of british,2007.0,background sentinel node biopsy (snb) standard staging procedure early breast cancer. its suitability larger tumours questioned. this study evaluated reliability snb women invasive breast cancer larger 3 cm diameter,J Frisell,gs
Jenny Bergqvist,22,finfish aquaculture animal welfare environment ethical implications,"J Bergqvist, S Gunnarsson",journal of agricultural and environmental,2013.0,"the aim review assess ethical implications finfish aquaculture, fish welfare environmental aspects. the finfish aquaculture industry grown substantially decades, result over-fishing wild fish populations,",J Bergqvist,gs
Jenny Bergqvist,22,antibiotic treatment endoflife cancer patientsa retrospective observational study palliative care center sweden,"M Frankling, J Bergqvist, P Bergman",cancers,2016.0,background: the aim study elucidate palliative cancer patients benefit antibiotic treatment weeks life infection suspected. method: we reviewed medical records 160 deceased palliative cancer patients,J Bergqvist,gs
Jenny Bergqvist,22,activated erk12 phosphorylated oestrogen receptor α associated improved breast cancer survival women treated tamoxifen,"J Bergqvist, G Elmberger, J Ohd, B Linderholm",european journal of,2006.0,"the aim study investigate expression activated (phosphorylated) erk1/2, oestrogen receptor α phosphorylated s118 (erα s118 ), her2 primary breast cancer, correlations outcome tamoxifen therapy. we performed",J Bergqvist,gs
Jenny Bergqvist,22,the impact integrated home palliative care services resource use place death,"J Bergqvist, G Ljunggren",journal of palliative medicine,2020.0,"background: specialized home-based palliative care (hpc) services aim reducing number visits emergency departments (eds) hospitalizations end life. in addition, offers patients possibility die home. objective: to investigate",J Bergqvist,gs
Jenny Bergqvist,22,vitamin d supplementation palliative cancer patients shows positive effects pain infectionsresults matched casecontrol study,"M Frankling, J Höijer, J Bergqvist",plos,2017.0,"background we previously showed association low vitamin d levels high opioid doses alleviate pain palliative cancer patients. the aim case-controlled study investigate vitamin d supplementation improve pain management, quality",J Bergqvist,gs
Jenny Bergqvist,22,low vitamin d levels associated higher opioid dose palliative cancer patientsresults observational study sweden,"P Bergman, S Sperneder, J Höijer, J Bergqvist",plos,2015.0,"background vitamin d deficiency common palliative cancer patients connected increased risk pain, depressions infections. therefore wanted test hypothesis low 25-hydroxyvitamin d (25ohd) levels associated higher",J Bergqvist,gs
Jenny Bergqvist,22,how treat male breast cancer,"K Czene, J Bergqvist, P Hall, J Bergh","breast (edinburgh, scotland)",2007.0,"the prevalence breast cancer males europe estimated 1 100,000. male breast cancer peak incidence age 71 years. there randomized data giving information optimal therapy male breast cancer patients,",J Bergqvist,gs
Jenny Bergqvist,22,the livebreast cancer patients perceptions palliative chemotherapy,"J Bergqvist, P Strang",acta oncologica,2017.0,"background: for women metastatic breast cancer, late lines chemotherapy beneficial harmful. ongoing chemotherapy late life increase risk late absent discussions palliative care access symptom relief options",J Bergqvist,gs
Jenny Bergqvist,22,quantitative realtime pcr analysis microarraybased rna expression her2 relation outcome,"J Bergqvist, J Ohd, J Smeds, S Klaar, J Isola",annals of oncology,2007.0,background: our aim use quantitative real-time pcr (q-pcr) rna expression profiles (rna-eps) investigate her2 status relation outcome. patients methods: cut-off levels q-pcr rna-ep established relation immunohistochemistry (…,J Bergqvist,gs
Jenny Bergqvist,22,the effects clinical sociodemographic factors survival resource use lead times patients highgrade gliomas populationbased register ,"J Bergqvist, H Iderberg, J Mesterton",journal of neuro,2018.0,"background previous studies indicate effect sociodemographic factors risk diagnosed with, survival cancer general. our primary aim analyse sociodemographic factors, resource use lead times health care diagnosis",J Bergqvist,gs
Jenny Bergqvist,22,breast cancer patients preferences truth versus hope dynamic change late lines palliative chemotherapy,"J Bergqvist, P Strang",journal of pain and symptom management,2019.0,"context women metastatic breast cancer receive lines palliative chemotherapy, beneficial harmful. still, little known patients' perception patient-doctor communication late lines noncurative treatment.",J Bergqvist,gs
Jenny Bergqvist,22,healthcare resource use comorbidity treatment clinical outcomes patients primary intracranial tumors swedish populationbased register study,"J Bergqvist, H Iderberg, J Mesterton, N Bengtsson",acta,2017.0,"background: primary intracranial tumors relatively uncommon heterogeneous, challenging study. we coupled data unique swedish population-based registries order deeper analyze common intracranical tumor types. patient",J Bergqvist,gs
Jenny Bergqvist,22,vitamin d supplementation palliative cancer patients protocol doubleblind randomised controlled trial palliatived,"M Frankling, J Bergqvist, C Klasson",bmj supportive &,2017.0,"background according small pilot study palliative cancer patients ward, vitamin d supplementation beneficial effects pain (measured opioid consumption), infections quality life (qol) having significant effects. objective the",J Bergqvist,gs
Jenny Bergqvist,22,does palliative chemotherapy provide palliative effect symptoms late palliative stages an interview study oncologists,"P Strang, J Bergqvist",acta oncologica,2017.0,background: the possible chemotherapy effects symptoms late stages palliative chemotherapy seldom registered clinical practice investigated primary outcomes. the aim study physicians’ opinions experiences chemotherapy,J Bergqvist,gs
Jenny Bergqvist,22,patient interactive digital support women adjuvant endocrine therapy order increase compliance quality life,"J Bergqvist, S Lundström",supportive care in cancer,2021.0,purpose the primary aim study develop investigate patient interactive digital support (an app) patients adjuvant endocrine breast cancer treatment. patient’s interactive digital applications fast-growing area research development. in,J Bergqvist,gs
Jenny Bergqvist,22,aquaculture,J Bergqvist,,2010.0,"the aim review assess ethical implications aquaculture, fish welfare environmental aspects. the aquaculture industry grown substantially decades, result over-fishing wild fish populations,",J Bergqvist,gs
Jenny Bergqvist,22,erratum how treat male breast cancerthe breast 16s2 2007 s147s154,"K Czene, J Bergqvist, P Hall, J Bergh",the breast,2008.0,"the prevalence breast cancer males europe estimated 1 100 000. male breast cancer peak incidence age 71 years. there randomized data giving information optimal therapy male breast cancer patients,",J Bergqvist,gs
Jenny Bergqvist,22,her2 tp53 human breast cancer studies methods prognostic value,J Bergqvist,,2006.0,"prognostic predictive factors needed tailored therapy strategies, aimed reducing breast cancer relapse improving survival. the present arsenal factors insufficient. the aims thesis study tp53 gene, human epidermal growth",J Bergqvist,gs
Jenny Bergqvist,22,kartläggning hitta språket vad händer sedan,"J Bergqvist, M Reuterhäll",,2020.0,"… vi, jenny bergqvist och malin reuterhäll har gemensamt planerat, strukturerat och genomfört detta examensarbete. vi har skrivit alla kapitel tillsammans och har ett ömsesidigt ansvar över innehållet arbetet. våra undersökningar är genomförda av oss båda och resultaten har",J Bergqvist,gs
Jenny Bergqvist,22,när såren har läkt och ärren finns kvar allvarligt brännskadade människors upplevelser av sin livssituation,"J Bergqvist, E Gustavsson",,2010.0,"varje år drabbas ett tusental människor sverige av allvarlig brännskada, en skada som kommer att förändra deras liv för alltid. sjuksköterskan kan dagligen möta människor som känner sig stigmatiserade, kanske utan att hon vet om det. den brännskadade kan inte dölja sitt",J Bergqvist,gs
Jenny Bergqvist,22,makter normer och den goda samhällsmedborgaren konstruktioner av barn leksituationer,"J Bergqvist, A Johansson",,2016.0,syftet med vår studie är att synliggöra vilka diskurser som uppstår när pedagoger analyserar barns relationer leken genom stimulated recall. avsikten med stimulated recall är att närma oss hur pedagoger förskolans verksamhet pratar om barns relationer. detta är relevant då,J Bergqvist,gs
Jenny Bergqvist,22,sjuksköterskors upplevelser av bemötande avseende patienter inom hospicevård,"J Bergqvist, Å Kolm",,2007.0,,J Bergqvist,gs
Johan Ahlgren,15,pattern chewing malocclusion teeth a clinical study,J Ahlgren,acta odontologica scandinavica,1967.0,"it shown cinematographic experiments man early acquires characteristic manner chewing (a hlgren, 1966). furthermore, deinonstrated seven types chewing patterns (dhlgren, 1966). the chewing pattern",J Ahlgren,gs
Johan Ahlgren,15,sexual dysfunction reproductive concerns young women breast cancer type prevalence predictors problems,"L Ljungman, J Ahlgren, L Petersson",psycho,2018.0,"objective a dearth studies focusing young women (<40 years) breast cancer hampered understanding type, prevalence, predictors sexual dysfunction reproductive concerns population. methods data collected 181 women (…",J Ahlgren,gs
Johan Ahlgren,15,adherence discontinuation adjuvant hormonal therapy breast cancer patients populationbased study,"A Wigertz, J Ahlgren, M Holmqvist, T Fornander",breast cancer research,2012.0,"adherence long-term pharmacological treatment chronic conditions optimal. till date, limited number population-based studies assessed adherence adjuvant hormonal therapy breast cancer, therapy proven benefits terms",J Ahlgren,gs
Johan Ahlgren,15,breast cancer sickness absence income marital status a study life situation 1 year prior diagnosis compared 3 5 years diagnosis,"S Eaker, A Wigertz, P Lambert, L Bergkvist, J Ahlgren",plos one,2011.0,"background improved cancer survival poses important questions future life conditions survivor. we examined possible influence breast cancer diagnosis subsequent working marital status, sickness absence income. materials we conducted",J Ahlgren,gs
Johan Ahlgren,15,muscle activity normal postnormal occlusion,"J Ahlgren, B Ingervall, B Thilander",american journal of orthodontics,1973.0,"the emg activity rest position mandible, chewing, swallowing compared boys normal occlusion boys angle class ii, division 1 malocclusion. the children's ages varied 9 13 years, mean 10",J Ahlgren,gs
Johan Ahlgren,15,an electromyographic analysis temporalis function normal occlusion,"J Ahlgren, B Sonesson, M Blitz",american journal of orthodontics,1985.0,"electromyographic (emg) activity recorded anterior, middle, posterior regions temporalis muscle subjects normal occlusion teeth mandible rest exertion increased biting force, bipolar intramuscular",J Ahlgren,gs
Johan Ahlgren,15,aromatase inhibitors sequentially combined tamoxifen postmenopausal early breast cancer compared tamoxifen placebometa ,"L Rydén, M Arnlind, S Vitols, M Höistad, J Ahlgren",the breast,2016.0,"tamoxifen (tam) aromatase inhibitors (ai) adjuvant therapy options postmenopausal women estrogen receptor positive (er+) breast cancer. this systematic review seven randomized controlled studies comparing tam ai, study comparing",J Ahlgren,gs
Johan Ahlgren,15,impact comorbidity management mortality women diagnosed breast cancer,"A Berglund, A Wigertz, J Adolfsson, J Ahlgren",breast cancer research,2012.0,"to investigate associations comorbidity burden, management, mortality women breast cancer. a total 42,646 women diagnosed breast cancer 1992 2008 identified clinical quality registers central sweden. breast cancer-…",J Ahlgren,gs
Johan Ahlgren,15,overexpression cyclin e protein associated specific mutation types p53 gene poor survival human breast cancer,"T Lindahl, G Landberg, J Ahlgren, H Nordgren",,2004.0,"cyclin e key regulators g 1 /s transition cell cycle. overexpression cyclin e observed malignancies associated high proliferation, aberrant expression cell cycle regulators chromosomal instability vitro . to",J Ahlgren,gs
Johan Ahlgren,15,mentalis orbicularis oris activity children incompetent lips electromyographic cephalometric study,"M Gustafsson, J Ahlgren",acta odontologica scandinavica,1975.0,"in order study function level activity mentalis orbicularis oris superior muscles subjects different lip morphology, electromyographic investigation carried children normal lip position (competent lips) children",J Ahlgren,gs
Johan Ahlgren,15,early late electromyographic response treatment activators,J Ahlgren,american journal of orthodontics,1978.0,"an emg analysis class ii cases treated activators shows that: 1. during daytime use activators, protractor muscles mandible stimulated, retractors inhibited. 2. during nightime use activators, functional stimulation recorded…",J Ahlgren,gs
Johan Ahlgren,15,the silent period emg jaw muscles mastication relationship tooth contact,J Ahlgren,acta odontologica scandinavica,1969.0,electromyographic studies jaw muscles yielded valuable information physiology stomatognathic system. the degree coordination muscular contraction movements positions mandible fairly known. recent polygraphic,J Ahlgren,gs
Johan Ahlgren,15,water brownification increase invasibility submerged nonnative macrophyte,"R Mormul, J Ahlgren, M Ekvall, L Hansson",biological,2012.0,environmental conditions human activities play significant role structuring novel assemblages native non-native species. ongoing future climatic change alter performance native non-native species biotic interactions. in northern,J Ahlgren,gs
Johan Ahlgren,15,late results activatortreatment cephalometric study,"J Ahlgren, C Laurin",british journal of orthodontics,1976.0,the purpose study analyse cephalometrically long-term effect activator treatment dentofacial skeleton 50 consecutively treated cases postnormal prenormal occlusion. comparisons dentofacial form successful unsuccessful,J Ahlgren,gs
Johan Ahlgren,15,individual boldness linked protective shell shape aquatic snails,"J Ahlgren, B Chapman, P Nilsson",biology,2015.0,"the existence consistent individual differences behaviour (‘animal personality’) documented recent years. however, individual variation behaviour maintained evolutionary time ongoing conundrum. a well-studied axis animal",J Ahlgren,gs
Johan Hartman,11,chemoresistance evolution triplenegative breast cancer delineated singlecell sequencing,"C Kim, R Gao, E Sei, R Brandt, J Hartman, T Hatschek",cell,2018.0,triple-negative breast cancer (tnbc) aggressive subtype frequently develops resistance chemotherapy. an unresolved question resistance caused selection rare pre-existing clones alternatively acquisition new genomic,J Hartman,gs
Johan Hartman,11,estrogen receptor β inhibits 17βestradiolstimulated proliferation breast cancer cell line t47d,"A Ström, J Hartman, J Foster, S Kietz",proceedings of the,2004.0,"estrogen receptor (er) β counteracts activity erα systems. in agreement this, study induced expression erβ breast cancer cell line t47d reduces 17β-estradiol-stimulated proliferation expression erβ mrna equals",J Hartman,gs
Johan Hartman,11,artificial intelligence step precision pathology,"B Acs, M Rantalainen, J Hartman",journal of internal medicine,2020.0,pathology cornerstone cancer care. the need accuracy histopathologic diagnosis cancer increasing personalized cancer therapy requires accurate biomarker assessment. the appearance digital image analysis holds promise improve,J Hartman,gs
Johan Hartman,11,tumor repressive functions estrogen receptor β sw480 colon cancer cells,"J Hartman, K Edvardsson, K Lindberg, C Zhao",cancer research,2009.0,"estrogen receptor β (erβ) predominant er colorectal epithelium. compared normal colon tissue, erβ expression reduced colorectal cancer. our hypothesis erβ inhibits proliferation colon cancer cells. hence, aim study",J Hartman,gs
Johan Hartman,11,estrogen receptor β inhibits angiogenesis growth t47d breast cancer xenografts,"J Hartman, K Lindberg, A Morani, J Inzunza, A Ström",cancer research,2006.0,"estrogens, stimulators growth normal breast malignant breast, mediate effects estrogen receptors (er), erα erβ. erα mediates proliferative effect estrogen breast cancer cells, erβ",J Hartman,gs
Johan Hartman,11,digital image analysis breast pathologyfrom image processing techniques artificial intelligence,"S Robertson, H Azizpour, K Smith, J Hartman",translational research,2018.0,"breast cancer common malignant disease women worldwide. in recent decades, earlier diagnosis better adjuvant therapy substantially improved patient outcome. diagnosis histopathology proven instrumental guide breast cancer",J Hartman,gs
Johan Hartman,11,estrogen receptor beta breast cancerdiagnostic therapeutic implications,"J Hartman, A Ström, J Gustafsson",steroids,2009.0,"more 10 years passed discovery second estrogen receptor, estrogen receptor β (erβ). it evident erα er breast cancer cells; fact, erβ expressed majority breast cancers lower levels",J Hartman,gs
Johan Hartman,11,comprehensive molecular comparison brca1 hypermethylated brca1 mutated triple negative breast cancers,"D Glodzik, A Bosch, J Hartman, M Aine",nature,2020.0,homologous recombination deficiency (hrd) defining characteristic brca-deficient breast tumors caused genetic epigenetic alterations key pathway genes. we investigated frequency brca1 promoter hypermethylation 237 triple-negative breast,J Hartman,gs
Johan Hartman,11,estrogen receptors β1 β2 opposing roles regulating proliferation bone metastasis genes prostate cancer cell line pc3,"P Dey, P Jonsson, J Hartman, C Williams",molecular,2012.0,"the estrogen receptor (er)β1 successively lost cancer progression, splice variant, erβ2, expressed advanced prostate cancer. the form cancer metastasizes bone, wanted investigate loss erβ1 and/or",J Hartman,gs
Johan Hartman,11,mir206 inhibits cell migration direct targeting actinbinding protein coronin 1c triplenegative breast cancer,"J Wang, E Tsouko, P Jonsson, J Bergh, J Hartman",molecular,2014.0,"patients triple-negative breast cancer (tnbc) overall poor prognosis, primarily high metastatic capacity tumors. novel therapeutic approaches target signaling pathways promote metastasis desirable, order improve",J Hartman,gs
Johan Hartman,11,current concepts significance estrogen receptor β prostate cancer,"J Hartman, A Ström, J Gustafsson",steroids,2012.0,"an increasing evidence points important roles estrogen receptors prostate carcinogenesis progression. of estrogen receptors, estrogen receptor β prominent prostate gland. although known,",J Hartman,gs
Jonas Bergh,4,10year results sector resection postoperative radiotherapy stage i breast cancer randomized trial,"G Liljegren, L Holmberg, J Bergh, A Lindgren",journal of clinical,1999.0,purpose: to study long-term effectiveness postoperative radiotherapy sector resection breast cancer randomized trial mammography major pathway diagnosis. patients and methods: three eighty-one women unifocal,J Bergh,gs
Jonas Bergh,4,longterm outcomes neoadjuvant versus adjuvant chemotherapy early breast cancer metaanalysis individual patient data randomised trials,"B Asselain, W Barlow, J Bartlett, J Bergh",the lancet,2018.0,background neoadjuvant chemotherapy (nact) early breast cancer breast-conserving surgery feasible likely eradicate micrometastatic disease chemotherapy given surgery. we investigated long-term,J Bergh,gs
Jonas Bergh,4,the clinical value somatic tp53 gene mutations 1794 patients breast cancer,"M Olivier, A Langer, P Carrieri, J Bergh, S Klaar",clinical cancer,2006.0,"to investigate clinical value somatic tp53 mutations breast cancer, assembled clinical molecular data 1,794 women primary breast cancer long-term follow-up tumor screened mutation exons 5 8 tp53 gene",J Bergh,gs
Jonas Bergh,4,complete sequencing p53 gene provides prognostic information breast cancer patients particularly relation adjuvant systemic therapy radiotherapy,"J Bergh, T Norberg, S Sjögren, A Lindgren",nature medicine,1995.0,"the complete coding region p53 gene sequenced 316 consecutively presented breast cancers, 97 lymph node positive 206 node negative. the p53 status related prognosis effect adjuvant therapy. in all, 69 individual",J Bergh,gs
Jonas Holm,25,prevalence consequences musculoskeletal symptoms symphony orchestra musicians vary gender crosssectional study,"H Paarup, J Baelum, J Holm",bmc,2011.0,"musculoskeletal symptoms common neck, back, upper limbs musicians. playing-related musculoskeletal disorders range 32% 87% tendency female musicians problems males. studies",J Holm,gs
Jonas Holm,25,occurrence coexistence localized musculoskeletal symptoms findings workattending orchestra musiciansan exploratory crosssectional study,"H Paarup, J Baelum, C Manniche, J Holm",bmc research,2012.0,"due ergonomic exposure musicians risk work-related musculoskeletal disorders neck, back, upper extremities. the literature confirms musculoskeletal problems anatomic regions orchestra musicians. an explorative cross-sectional study",J Holm,gs
Jonas Holm,25,mixed venous oxygen saturation predicts shortand longterm outcome coronary artery bypass grafting surgery retrospective cohort analysis,"J Holm, E Håkanson, F Vánky",british journal of,2011.0,"background complications inadequate haemodynamic state leading cause morbidity mortality cardiac surgery. unfortunately, commonly methods assess haemodynamic status documented respect outcome. the aim",J Holm,gs
Jonas Holm,25,euroscore ii nterminal probtype natriuretic peptide risk evaluation observational longitudinal study patients undergoing coronary artery bypass graft ,"J Holm, M Vidlund, F Vánky, Ö Friberg",british journal of,2014.0,"background postoperative heart failure remains major cause death cardiac surgery. as n-terminal pro-b-type natriuretic peptide (nt-probnp) predictor postoperative heart failure, aim evaluate preoperative nt-probnp provide additional",J Holm,gs
Jonas Holm,25,increasing rate angiotensinconverting enzyme inhibitorrelated upper airway angiooedema,"J Holm, T Ovesen",dan med j,2012.0,"introduction: the objective study evaluate increased use angiotensin-converting enzyme inhibitors affected rate upper airway angiooedema (ae). in addition, evaluated presentation treatment patients upper airway",J Holm,gs
Jonas Holm,25,mixed venous oxygen saturation prognostic marker surgery aortic stenosis,"J Holm, R Håkanson, F Vánky",acta,2010.0,"background: adequate monitoring hemodynamic state essential cardiac surgery vital medical decision making, particularly concerning hemodynamic management. unfortunately, commonly methods assess hemodynamic state",J Holm,gs
Jonas Holm,25,rise fall ntprobnp aortic valve intervention,"H Hultkvist, J Holm, R Svedjeholm, F Vánky",open heart,2018.0,"objectives to dynamics n-terminal pro-b-type natriuretic peptide (nt-probnp) preoperative evaluation 6-month follow-up patients undergoing aortic valve intervention, evaluate nt-probnp regard 1-year mortality. methods at preoperative",J Holm,gs
Jonas Holm,25,preoperative ntprobnp independently predicts outcome patients acute coronary syndrome undergoing cabg,"J Holm, M Vidlund, F Vanky, Ö Friberg",scandinavian,2013.0,objectives. the predictive value preoperative n-terminal pro-b-type natriuretic peptide (nt-probnp) evaluated patients acute coronary syndrome undergoing coronary artery bypass grafting (cabg). design. as substudy clinical trial 383 patients acute,J Holm,gs
Jonas Holm,25,ntprobnp postoperative heart failure surgery aortic stenosis,"H Jiang, F Vánky, H Hultkvist, J Holm, Y Yang",open,2019.0,objective postoperative heart failure (phf) aortic valve replacement (avr) aortic stenosis (as) initially appear mild transient long-term consequences. methods assess phf documented. we studied association n-…,J Holm,gs
Jonas Holm,25,impact underlying heart disease se utility preoperative ntprobnp adult cardiac surgery,"H Jiang, H Hultkvist, J Holm, F Vanky, Y Yang",plos one,2018.0,"objective the primary aim investigate role underlying heart disease preoperative nt-probnp levels patients admitted adult cardiac surgery, adjusting known confounders age, gender, obesity renal function. the second aim",J Holm,gs
Jonas Holm,25,biomarker dynamics cardiac surgery prospective observational study mrproadm mrproanp hscrp spselectin plasma levels perioperative ,"J Holm, I Cederholm, U Alehagen, T Lindahl",biomarkers,2020.0,"background: for biomarkers cardiac surgery, lack knowledge normal dynamics plasma levels perioperative course. the aim study investigate perioperative dynamics mr-proadm, mr-proanp, hs-crp sp-…",J Holm,gs
